iter	Logloss
0	0.4759247439
1	0.4086773548
2	0.3700002143
3	0.3366208924
4	0.3169883561
5	0.2657723073
6	0.2542829808
7	0.2245340002
8	0.2027166611
9	0.1849267453
10	0.1712234696
11	0.1635134908
12	0.1599926769
13	0.1435708451
14	0.133134462
15	0.1311150982
16	0.1233738278
17	0.1178673198
18	0.1093520583
19	0.1035537371
20	0.1005550591
21	0.09882822395
22	0.09181746898
23	0.08571962999
24	0.08120554241
25	0.07842826019
26	0.0755810969
27	0.07250832213
28	0.06979377511
29	0.06750019979
30	0.06588680092
31	0.06519152579
32	0.06507590172
33	0.06423531971
34	0.06311818435
35	0.06175344239
36	0.06029951533
37	0.05909457734
38	0.0567553671
39	0.05521047417
40	0.05303297555
41	0.05261145882
42	0.052076291
43	0.05046664182
44	0.04862608781
45	0.04804433844
46	0.04700174882
47	0.0454077352
48	0.04352138714
49	0.04250279822
50	0.0410715498
51	0.03958321317
52	0.03806957769
53	0.03765611027
54	0.0367822062
55	0.03559868125
56	0.03475317467
57	0.03475196705
58	0.03474892485
59	0.03439075011
60	0.03384470704
61	0.03292755512
62	0.03236459837
63	0.03194121631
64	0.03089569585
65	0.03001170347
66	0.02921465572
67	0.02905091401
68	0.02811220315
69	0.02775860679
70	0.02705457169
71	0.02658244343
72	0.02636826732
73	0.02488341053
74	0.0239539404
75	0.02286274604
76	0.02229410042
77	0.02200162996
78	0.02156260749
79	0.02087970689
80	0.02039222363
81	0.0196995065
82	0.01953354852
83	0.01910250291
84	0.01885643026
85	0.0186002936
86	0.01799916531
87	0.01763526508
88	0.01723315345
89	0.01674286148
90	0.01667320169
91	0.01656409016
92	0.01610412316
93	0.01569181959
94	0.01538723934
95	0.0148192056
96	0.01456280247
97	0.01443160193
98	0.01389184847
99	0.0137907992
